id,body,date,amount,sender,recipient_name,recipient_phone,fee,new_balance,transaction_type
11,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-14 09:10:29. Your NEW BALANCE :5980 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-14 07:10:29",5000,"unknown sender","your mobile money account at",2024,0,5980,"Bank Deposit"
12,"*165*S*1800 RWF transferred to Robert Brown (250788999999) from 36521838 at 2024-05-14 09:11:32 . Fee was: 100 RWF. New balance: 4080 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-14 07:11:32",1800,"unknown sender","robert brown",250788999999,100,4080,"Transfer to Mobile"
13,"*165*S*2500 RWF transferred to Jane Smith (250791666666) from 36521838 at 2024-05-14 09:27:40 . Fee was: 100 RWF. New balance: 1480 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-14 07:27:40",2500,"unknown sender","jane smith",250791666666,100,1480,"Transfer to Mobile"
14,"*165*S*500 RWF transferred to Samuel Carter (250790777777) from 36521838 at 2024-05-14 14:01:57 . Fee was: 20 RWF. New balance: 960 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-14 12:01:57",500,"unknown sender","samuel carter",250790777777,20,960,"Transfer to Mobile"
15,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-14 19:06:03. Your NEW BALANCE :5960 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-14 17:06:03",5000,"unknown sender","your mobile money account at",2024,0,5960,"Bank Deposit"
16,"*165*S*1800 RWF transferred to Alex Doe (250791666666) from 36521838 at 2024-05-14 19:21:16 . Fee was: 100 RWF. New balance: 4060 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-14 17:21:16",1800,"unknown sender","alex doe",250791666666,100,4060,"Transfer to Mobile"
17,"TxId: 51732411227. Your payment of 600 RWF to Samuel Carter 95464 has been completed at 2024-05-10 21:32:32. Your new balance: 400 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-10 19:32:32",600,"unknown sender","samuel carter",95464,0,400,"Payment to Code Holder"
18,"*164*S*Y'ello,A transaction of 25000 RWF by DIRECT PAYMENT LTD  on your MOMO account was successfully completed at 2024-05-14 21:01:00. Message from debit receiver: . Your new balance:4060 RWF. Fee was 0 RWF. Financial Transaction Id: 13947831685. External Transaction Id: 47842929.*EN#","2024-05-14 19:01:00",25000,"unknown sender",unknown,N/A,0,4060,"Transactions Initiated by Third Parties"
19,"TxId: 24227321992. Your payment of 1,600 RWF to Linda Green 14166 has been completed at 2024-05-14 21:29:01. Your new balance: 2,460 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-14 19:29:01",1600,"unknown sender","linda green",14166,0,2460,"Payment to Code Holder"
20,"TxId: 18249226395. Your payment of 2,000 RWF to Alex Doe 23199 has been completed at 2024-05-14 21:29:35. Your new balance: 460 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-14 19:29:35",2000,"unknown sender","alex doe",23199,0,460,"Payment to Code Holder"
21,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-15 09:13:09. Your NEW BALANCE :5460 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-15 07:13:09",5000,"unknown sender","your mobile money account at",2024,0,5460,"Bank Deposit"
22,"TxId: 98755359894. Your payment of 1,800 RWF to Alex Doe 73050 has been completed at 2024-05-15 09:16:32. Your new balance: 3,660 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-15 07:16:32",1800,"unknown sender","alex doe",73050,0,3660,"Payment to Code Holder"
23,"*165*S*700 RWF transferred to Jane Smith (250790777777) from 36521838 at 2024-05-15 15:23:28 . Fee was: 20 RWF. New balance: 2940 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-15 13:23:28",700,"unknown sender","jane smith",250790777777,20,2940,"Transfer to Mobile"
24,"*165*S*1500 RWF transferred to Robert Brown (250788999999) from 36521838 at 2024-05-15 18:04:03 . Fee was: 100 RWF. New balance: 1340 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-15 16:04:03",1500,"unknown sender","robert brown",250788999999,100,1340,"Transfer to Mobile"
25,"TxId: 65789139357. Your payment of 1,000 RWF to Alex Doe 46904 has been completed at 2024-05-15 20:38:44. Your new balance: 340 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-15 18:38:44",1000,"unknown sender","alex doe",46904,0,340,"Payment to Code Holder"
26,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-15 23:17:44. Your NEW BALANCE :5340 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-15 21:17:44",5000,"unknown sender","your mobile money account at",2024,0,5340,"Bank Deposit"
27,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-15 23:20:36. Your NEW BALANCE :10340 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-15 21:20:36",5000,"unknown sender","your mobile money account at",2024,0,10340,"Bank Deposit"
28,"*165*S*2800 RWF transferred to Linda Green (250788999999) from 36521838 at 2024-05-15 23:59:11 . Fee was: 100 RWF. New balance: 7440 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-15 21:59:11",2800,"unknown sender","linda green",250788999999,100,7440,"Transfer to Mobile"
29,"*165*S*1300 RWF transferred to Linda Green (250789888888) from 36521838 at 2024-05-16 02:03:20 . Fee was: 100 RWF. New balance: 6040 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-16 00:03:20",1300,"unknown sender","linda green",250789888888,100,6040,"Transfer to Mobile"
30,"TxId: 16913786322. Your payment of 2,150 RWF to Linda Green 20428 has been completed at 2024-05-16 21:35:36. Your new balance: 3,890 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-16 19:35:36",2150,"unknown sender","linda green",20428,0,3890,"Payment to Code Holder"
31,"*165*S*1500 RWF transferred to Jane Smith (250790777777) from 36521838 at 2024-05-17 10:35:37 . Fee was: 100 RWF. New balance: 2290 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-17 08:35:37",1500,"unknown sender","jane smith",250790777777,100,2290,"Transfer to Mobile"
32,"*165*S*1500 RWF transferred to Jane Smith (250791666666) from 36521838 at 2024-05-17 18:49:21 . Fee was: 100 RWF. New balance: 690 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-17 16:49:21",1500,"unknown sender","jane smith",250791666666,100,690,"Transfer to Mobile"
33,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-18 08:11:36. Your NEW BALANCE :5690 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-18 06:11:36",5000,"unknown sender","your mobile money account at",2024,0,5690,"Bank Deposit"
34,"TxId: 30173936259. Your payment of 1,500 RWF to Robert Brown 52128 has been completed at 2024-05-18 08:15:31. Your new balance: 4,190 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-18 06:15:31",1500,"unknown sender","robert brown",52128,0,4190,"Payment to Code Holder"
35,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-18 08:48:00. Your NEW BALANCE :9190 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-18 06:48:00",5000,"unknown sender","your mobile money account at",2024,0,9190,"Bank Deposit"
36,"TxId: 38084447123. Your payment of 6,000 RWF to Jane Smith 48045 has been completed at 2024-05-18 08:48:28. Your new balance: 3,190 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-18 06:48:28",6000,"unknown sender","jane smith",48045,0,3190,"Payment to Code Holder"
37,"You have received 1400 RWF from Linda Green (*********704) on your mobile money account at 2024-05-19 01:49:09. Message from sender: . Your new balance:4590 RWF. Financial Transaction Id: 45738348638.","2024-05-18 23:49:09",1400,"linda green",unknown,N/A,0,4590,"Incoming Money"
38,"*165*S*500 RWF transferred to Robert Brown (250791666666) from 36521838 at 2024-05-20 09:32:49 . Fee was: 20 RWF. New balance: 4070 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-20 07:32:49",500,"unknown sender","robert brown",250791666666,20,4070,"Transfer to Mobile"
39,"TxId: 32894434269. Your payment of 1,500 RWF to Jane Smith 61445 has been completed at 2024-05-20 16:55:34. Your new balance: 2,570 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-20 14:55:34",1500,"unknown sender","jane smith",61445,0,2570,"Payment to Code Holder"
40,"*165*S*1500 RWF transferred to Robert Brown (250789888888) from 36521838 at 2024-05-20 17:05:45 . Fee was: 100 RWF. New balance: 970 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-20 15:05:45",1500,"unknown sender","robert brown",250789888888,100,970,"Transfer to Mobile"
41,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-20 17:45:23. Your NEW BALANCE :5970 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-20 15:45:23",5000,"unknown sender","your mobile money account at",2024,0,5970,"Bank Deposit"
42,"*165*S*1000 RWF transferred to Jane Smith (250788999999) from 36521838 at 2024-05-20 17:45:59 . Fee was: 20 RWF. New balance: 4950 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-20 15:45:59",1000,"unknown sender","jane smith",250788999999,20,4950,"Transfer to Mobile"
43,"*165*S*1500 RWF transferred to Samuel Carter (250791666666) from 36521838 at 2024-05-21 14:38:14 . Fee was: 100 RWF. New balance: 3350 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-21 12:38:14",1500,"unknown sender","samuel carter",250791666666,100,3350,"Transfer to Mobile"
44,"*165*S*1700 RWF transferred to Jane Smith (250788999999) from 36521838 at 2024-05-21 17:42:48 . Fee was: 100 RWF. New balance: 1550 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-21 15:42:48",1700,"unknown sender","jane smith",250788999999,100,1550,"Transfer to Mobile"
45,"*165*S*10000 RWF transferred to Samuel Carter (250791666666) from 36521838 at 2024-05-11 20:34:47 . Fee was: 100 RWF. New balance: 28300 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-11 18:34:47",10000,"unknown sender","samuel carter",250791666666,100,28300,"Transfer to Mobile"
46,"*165*S*5000 RWF transferred to Jane Smith (250789888888) from 36521838 at 2024-05-21 18:15:41 . Fee was: 100 RWF. New balance: 1450 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-21 16:15:41",5000,"unknown sender","jane smith",250789888888,100,1450,"Transfer to Mobile"
47,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-22 13:44:11. Your NEW BALANCE :6450 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-22 11:44:11",5000,"unknown sender","your mobile money account at",2024,0,6450,"Bank Deposit"
48,"TxId: 61189493387. Your payment of 3,500 RWF to Robert Brown 61316 has been completed at 2024-05-22 13:44:59. Your new balance: 2,950 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-22 11:44:59",3500,"unknown sender","robert brown",61316,0,2950,"Payment to Code Holder"
49,"TxId: 37467134419. Your payment of 1,800 RWF to Robert Brown 28481 has been completed at 2024-05-23 09:51:43. Your new balance: 1,150 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-23 07:51:43",1800,"unknown sender","robert brown",28481,0,1150,"Payment to Code Holder"
50,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-24 11:43:17. Your NEW BALANCE :6150 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-24 09:43:17",5000,"unknown sender","your mobile money account at",2024,0,6150,"Bank Deposit"
51,"*165*S*1800 RWF transferred to Jane Smith (250791666666) from 36521838 at 2024-05-24 11:43:58 . Fee was: 100 RWF. New balance: 4250 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-24 09:43:58",1800,"unknown sender","jane smith",250791666666,100,4250,"Transfer to Mobile"
52,"TxId: 12131092250. Your payment of 1,000 RWF to Samuel Carter 98117 has been completed at 2024-05-24 13:10:41. Your new balance: 3,250 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-24 11:10:41",1000,"unknown sender","samuel carter",98117,0,3250,"Payment to Code Holder"
53,"TxId: 35617026753. Your payment of 1,500 RWF to Alex Doe 22692 has been completed at 2024-05-24 16:41:03. Your new balance: 1,750 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-24 14:41:03",1500,"unknown sender","alex doe",22692,0,1750,"Payment to Code Holder"
54,"*165*S*1600 RWF transferred to Samuel Carter (250791666666) from 36521838 at 2024-05-24 18:18:36 . Fee was: 100 RWF. New balance: 50 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-24 16:18:36",1600,"unknown sender","samuel carter",250791666666,100,50,"Transfer to Mobile"
55,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-24 23:04:07. Your NEW BALANCE :5050 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-24 21:04:07",5000,"unknown sender","your mobile money account at",2024,0,5050,"Bank Deposit"
56,"TxId: 59168184137. Your payment of 2,000 RWF to Alex Doe 14717 has been completed at 2024-05-24 23:07:44. Your new balance: 3,050 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-24 21:07:44",2000,"unknown sender","alex doe",14717,0,3050,"Payment to Code Holder"
57,"TxId: 47570656030. Your payment of 2,000 RWF to Samuel Carter 23701 has been completed at 2024-05-25 04:54:54. Your new balance: 1,050 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-25 02:54:54",2000,"unknown sender","samuel carter",23701,0,1050,"Payment to Code Holder"
58,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-25 11:18:40. Your NEW BALANCE :6050 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-25 09:18:40",5000,"unknown sender","your mobile money account at",2024,0,6050,"Bank Deposit"
59,"TxId: 95960893947. Your payment of 2,000 RWF to Samuel Carter 19954 has been completed at 2024-05-25 11:19:23. Your new balance: 4,050 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-25 09:19:23",2000,"unknown sender","samuel carter",19954,0,4050,"Payment to Code Holder"
60,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-25 17:18:07. Your NEW BALANCE :9050 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-25 15:18:07",5000,"unknown sender","your mobile money account at",2024,0,9050,"Bank Deposit"
61,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-25 17:19:48. Your NEW BALANCE :14050 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-25 15:19:48",5000,"unknown sender","your mobile money account at",2024,0,14050,"Bank Deposit"
62,"TxId: 43786042083. Your payment of 9,300 RWF to Jane Smith 15975 has been completed at 2024-05-25 17:20:20. Your new balance: 4,750 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-25 15:20:20",9300,"unknown sender","jane smith",15975,0,4750,"Payment to Code Holder"
63,"TxId: 51199793551. Your payment of 2,000 RWF to Samuel Carter 24729 has been completed at 2024-05-25 19:50:55. Your new balance: 2,750 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-25 17:50:55",2000,"unknown sender","samuel carter",24729,0,2750,"Payment to Code Holder"
64,"TxId: 90057863776. Your payment of 1,000 RWF to Jane Smith 55799 has been completed at 2024-05-25 23:47:53. Your new balance: 1,750 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-25 21:47:53",1000,"unknown sender","jane smith",55799,0,1750,"Payment to Code Holder"
65,"*113*R*A bank deposit of 25000 RWF has been added to your mobile money account at 2024-05-26 02:06:45. Your NEW BALANCE :26750 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-26 00:06:45",25000,"unknown sender","your mobile money account at",2024,0,26750,"Bank Deposit"
66,"You Abebe Chala CHEBUDIE (*********036) have via agent: Agent Sophia (250790777777), withdrawn 20000 RWF from your mobile money account: 36521838 at 2024-05-26 02:10:27 and you can now collect your money in cash. Your new balance: 6400 RWF. Fee paid: 350 RWF. Message from agent: 1. Financial Transaction Id: 14098463509.","2024-05-26 00:10:27",20000,"unknown sender",unknown,N/A,0,6400,"Withdrawal from Agent"
67,"*165*S*1500 RWF transferred to Jane Smith (250791666666) from 36521838 at 2024-05-26 02:24:44 . Fee was: 100 RWF. New balance: 4800 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-26 00:24:44",1500,"unknown sender","jane smith",250791666666,100,4800,"Transfer to Mobile"
68,"*162*TxId:14103506143*S*Your payment of 4000 RWF to MTN Cash Power with token 72962-79980-44699-06073 has been completed at 2024-05-26 13:31:00. Fee was 0 RWF. Your new balance: 800 RWF . Message: - -. *EN#","2024-05-26 11:31:00",4000,"unknown sender","mtn cash power with token",72962,0,800,"Payment to Code Holder"
69,"*113*R*A bank deposit of 25000 RWF has been added to your mobile money account at 2024-05-26 14:49:08. Your NEW BALANCE :25800 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-26 12:49:08",25000,"unknown sender","your mobile money account at",2024,0,25800,"Bank Deposit"
70,"*165*S*25000 RWF transferred to Samuel Carter (250789888888) from 36521838 at 2024-05-26 14:51:13 . Fee was: 250 RWF. New balance: 550 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-26 12:51:13",25000,"unknown sender","samuel carter",250789888888,250,550,"Transfer to Mobile"
71,"*113*R*A bank deposit of 40000 RWF has been added to your mobile money account at 2024-05-11 18:43:49. Your NEW BALANCE :40400 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-11 16:43:49",40000,"unknown sender","your mobile money account at",2024,0,40400,"Bank Deposit"
72,"*165*S*10000 RWF transferred to Samuel Carter (250791666666) from 36521838 at 2024-05-26 16:01:09 . Fee was: 100 RWF. New balance: 450 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-26 14:01:09",10000,"unknown sender","samuel carter",250791666666,100,450,"Transfer to Mobile"
73,"TxId: 65035082869. Your payment of 8,000 RWF to Jane Smith 51116 has been completed at 2024-05-26 17:19:28. Your new balance: 2,450 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-26 15:19:28",8000,"unknown sender","jane smith",51116,0,2450,"Payment to Code Holder"
74,"TxId: 23112980564. Your payment of 2,000 RWF to Robert Brown 11803 has been completed at 2024-05-26 18:46:37. Your new balance: 450 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-26 16:46:37",2000,"unknown sender","robert brown",11803,0,450,"Payment to Code Holder"
75,"*113*R*A bank deposit of 5000 RWF has been added to your mobile money account at 2024-05-27 07:57:08. Your NEW BALANCE :5450 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-27 05:57:08",5000,"unknown sender","your mobile money account at",2024,0,5450,"Bank Deposit"
76,"TxId: 97391079490. Your payment of 1,700 RWF to Samuel Carter 71141 has been completed at 2024-05-27 08:01:47. Your new balance: 3,750 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-27 06:01:47",1700,"unknown sender","samuel carter",71141,0,3750,"Payment to Code Holder"
77,"*165*S*1500 RWF transferred to Jane Smith (250789888888) from 36521838 at 2024-05-27 14:45:58 . Fee was: 100 RWF. New balance: 2150 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-27 12:45:58",1500,"unknown sender","jane smith",250789888888,100,2150,"Transfer to Mobile"
78,"*162*TxId:14121530824*S*Your payment of 2000 RWF to Airtime with token  has been completed at 2024-05-27 18:40:46. Fee was 0 RWF. Your new balance: 150 RWF . Message: - -. *EN#","2024-05-27 16:40:46",2000,"unknown sender","airtime with token  has been completed at",2024,0,150,"Payment to Code Holder"
79,"*113*R*A bank deposit of 30000 RWF has been added to your mobile money account at 2024-05-28 07:21:39. Your NEW BALANCE :30150 RWF. Cash Deposit::CASH::::0::250795963036.Thank you for using MTN MobileMoney.*EN#","2024-05-28 05:21:39",30000,"unknown sender","your mobile money account at",2024,0,30150,"Bank Deposit"
80,"*165*S*27000 RWF transferred to Samuel Carter (250791666666) from 36521838 at 2024-05-28 07:22:45 . Fee was: 250 RWF. New balance: 2900 RWF. Kugura ama inite cg interineti kuri MoMo, Kanda *182*2*1# .*EN#","2024-05-28 05:22:45",27000,"unknown sender","samuel carter",250791666666,250,2900,"Transfer to Mobile"
81,"TxId: 28021128029. Your payment of 1,500 RWF to Alex Doe 44654 has been completed at 2024-05-28 17:34:02. Your new balance: 1,400 RWF. Fee was 0 RWF.Kanda*182*16# wiyandikishe muri poromosiyo ya BivaMoMotima, ugire amahirwe yo gutsindira ibihembo bishimishije.","2024-05-28 15:34:02",1500,"unknown sender","alex doe",44654,0,1400,"Payment to Code Holder"
